"region","hypo_level","sensitivity_mean","sensitivity_sd","sensitivity_n","sensitivity_n_na","specificity_mean","specificity_sd","specificity_n","specificity_n_na","ppv_mean","ppv_sd","ppv_n","ppv_n_na","npv_mean","npv_sd","npv_n","npv_n_na"
"roiAD","1",99.5556146372313,0.629008188470267,25,0,50.6951352874789,0.253267561658883,25,0,5.57494063926941,0.966528436721046,25,0,99.972097209721,0.0380325752597887,25,0
"roiAD","4",99.5556146372313,0.629008188470267,25,0,50.6951352874789,0.253267561658883,25,0,5.57494063926941,0.966528436721046,25,0,99.972097209721,0.0380325752597887,25,0
"roiAD","8",99.5556146372313,0.629008188470267,25,0,50.6951352874789,0.253267561658883,25,0,5.57494063926941,0.966528436721046,25,0,99.972097209721,0.0380325752597887,25,0
"w214","1",99.0670084343771,0.822585159460796,25,0,52.1172698044734,0.308558551514994,25,0,10.9489680365297,1.14917105604546,25,0,99.8802880288029,0.109992815960537,25,0
"w214","4",99.0670084343771,0.822585159460796,25,0,52.1172698044734,0.308558551514994,25,0,10.9489680365297,1.14917105604546,25,0,99.8802880288029,0.109992815960537,25,0
"w214","8",99.0670084343771,0.822585159460796,25,0,52.1172698044734,0.308558551514994,25,0,10.9489680365297,1.14917105604546,25,0,99.8802880288029,0.109992815960537,25,0
"w271","1",99.3046291703653,0.661002561471401,25,0,53.3861416761755,0.456508664477802,25,0,15.4188858447489,1.57584688988127,25,0,99.8775877587759,0.118374099132137,25,0
"w271","4",99.3046291703653,0.661002561471401,25,0,53.3861416761755,0.456508664477802,25,0,15.4188858447489,1.57584688988127,25,0,99.8775877587759,0.118374099132137,25,0
"w271","8",99.3046291703653,0.661002561471401,25,0,53.3861416761755,0.456508664477802,25,0,15.4188858447489,1.57584688988127,25,0,99.8775877587759,0.118374099132137,25,0
"w32","1",100,0,24,1,49.3536972801548,0.0496691644193088,25,0,0.284493150684931,0.200131508093953,25,0,100,0,25,0
"w32","4",100,0,24,1,49.3536972801548,0.0496691644193088,25,0,0.284493150684931,0.200131508093953,25,0,100,0,25,0
"w32","8",100,0,24,1,49.3536972801548,0.0496691644193088,25,0,0.284493150684931,0.200131508093953,25,0,100,0,25,0
