"region","hypo_level","sensitivity_mean","sensitivity_sd","sensitivity_n","sensitivity_n_na","specificity_mean","specificity_sd","specificity_n","specificity_n_na","ppv_mean","ppv_sd","ppv_n","ppv_n_na","npv_mean","npv_sd","npv_n","npv_n_na"
"roiAD","1",73.3673780817235,28.2490311493926,25,0,58.8572559375002,16.3382074413456,25,0,4.85857120046574,0.991325542935045,25,0,98.8608879193937,1.08869804764837,25,0
"roiAD","4",80.799785625016,25.3888433588164,25,0,58.7105511895358,15.6640206275228,25,0,5.51270712319396,1.23295188392025,25,0,99.2031073779743,0.984313290480082,25,0
"roiAD","8",91.1806433131028,15.1765070563726,25,0,58.3179884050767,14.9967528800967,25,0,7.07981212804106,4.23524317423941,25,0,99.6475304260162,0.581184119755782,25,0
"w214","1",60.5155053598835,33.8277068963967,25,0,58.496940094833,15.7937556443046,25,0,6.84053895982994,2.70986154548873,25,0,96.6112081139669,2.30701797207672,25,0
"w214","4",74.165078347475,29.5817252530545,25,0,58.0174939333977,15.444520231648,25,0,9.55402751131072,2.97415965576039,25,0,97.8555746166221,2.06321324150716,25,0
"w214","8",87.9717267603718,19.3714176051523,25,0,58.1284354593866,15.4620892960876,25,0,12.1491856495883,4.17577800928518,25,0,99.0497766886601,1.31216869859875,25,0
"w271","1",63.1717847674021,36.2365128318239,25,0,59.0381341723806,15.3048802080084,25,0,9.71946227165206,4.11405450018955,25,0,95.6493100899711,3.5938363599794,25,0
"w271","4",76.4604257597869,30.0434345771196,25,0,58.6637687204686,14.9473576811867,25,0,13.4485447725328,3.00764478650775,25,0,97.2979738542055,3.02834884067443,25,0
"w271","8",89.8650637312905,16.7019310472696,25,0,58.7546677398697,15.0272820213548,25,0,17.2150836739098,6.07010961410296,25,0,98.8586959629849,1.67632124429874,25,0
"w32","1",57.5602690759237,44.7142407561851,24,1,57.4110737663121,16.4635756409835,25,0,0.129885941196348,0.136893247532755,25,0,99.8915333803246,0.149076164864899,25,0
"w32","4",66.7850597641869,46.8226922580765,24,1,57.1789354191288,16.2695025774782,25,0,0.163412459226008,0.191457235543979,25,0,99.9266622007409,0.114274995439599,25,0
"w32","8",78.5279723493741,34.197284543474,24,1,57.000541879472,15.811800617302,25,0,0.251544008299257,0.214723699203113,25,0,99.9570305167959,0.0744101143692386,25,0
